Spot name,Age,Error,Age SBM,Error
545-h.1,44044.11457545018,"(2.558124339945297, 0.4763154151203402)","(1.2392627579887798, 0.427197479861)"
545-i.2,51521.512051281425,"(3.359325445254001, 0.6255860898687517)","(1.6279190724336932, 1.0851644476246969)"
545-i.3,14286.165136691177,"(3.948388883289334, 0.7352745079448041)","(0.9965933617703541, 1.6936184020519716)"
545-g.2,18432.727777306023,"(4.337413890033888, 0.8077254400263087)","(1.1670103625075805, 2.183568759437103)"
545-f.1,26666.923399893763,"(3.505025244199801, 0.6526725077020143)","(1.216931645539403, 0.7175338626899255)"
545-k.1,64216.03710240538,"(3.728251749313673, 0.6942385544612378)","(1.9819758261703682, 1.2515086620340456)"
545-o.1,31329.277224023972,"(4.581314348822931, 0.8530390418476894)","(1.5810235947100082, 1.518202316123751)"
545-o.2,3306.613691535133,"(4.796550836599893, 0.893490042885538)","(0.7096522302481739, 3.6318011239094337)"
545-o.3,28871.86843215969,"(3.939296001751884, 0.7335560320371695)","(1.3635700368983747, 1.1340693298255422)"
545-n.1,50057.05522669327,"(5.361052043193758, 0.9988292663775752)","(2.340616268849918, 5.19338114630489)"
545-n.2,45325.47487565769,"(4.838348870226669, 0.9013637017731118)","(2.0292857335668932, 3.584949962716249)"
545-n.3,41505.40687547328,"(4.048958155661631, 0.7539696120044873)","(1.679659370531884, 1.2564966230177421)"
545-l.1,16407.64095482464,"(3.8082444880031607, 0.7092272311973375)","(1.033836242339112, 1.7699738477455977)"
545-l.2,25284.71304604929,"(3.261266509878116, 0.6072877411304725)","(1.1373985982769867, 1.1434517799342956)"
545-l.3,44961.92130347225,"(3.4226676367216537, 0.6373382543656065)","(1.542100264972495, 1.1014329691984335)"
545-l.4,39816.23663612039,"(4.223876690937789, 0.7865909885121926)","(1.6961693315571644, 2.9081843257742306)"
428-a.1,48708.29616134419,"(2.8997506530633235, 0.5399162716141482)","(1.4173492908456375, 0.5544897029109678)"
428-b.1,59802.27359956067,"(4.576042877804031, 0.852073091582343)","(2.2674599671500717, 0.9783884022309818)"
428-2.1,100591.80607109332,"(4.934691126706219, 0.9188297749153296)","(3.2029714420000936, 1.0302058490176227)"
428-17.1,453540.67355133593,"(3.7256004504821756, 0.6938215329316864)","(3.676249246702862, 3.957901624052448)"
428-19.1,80668.87847605781,"(4.381411082962467, 0.81586353056786)","(2.567375528554671, 1.1090409460230501)"
428-24.1,60186.432198250826,"(4.093125804372571, 0.762279672165055)","(2.070938798730233, 1.492016335656189)"
428-24.2,23437.642418763753,"(4.938661456993223, 0.9199366484889688)","(1.4251886874418862, 3.4558896644096557)"
428-l.1,98065.15923562346,"(6.100749294958974, 1.1367951662768039)","(3.8534974606858854, 5.4181842562095435)"
428-l.2,89740.45565939216,"(3.8401150006938902, 0.7150442272035372)","(2.408659621778439, 0.8364159206023329)"
428-u1,96466.11207473667,"(4.931098441939065, 0.9183321973084327)","(3.1341822960583277, 2.371788860031698)"
428-u2.1,68106.27351719406,"(5.713093853191351, 1.0644705496091478)","(2.964163828859439, 5.563087175881552)"
428-u2.2,43710.74198438513,"(7.56069232606644, 1.4090870329336043)","(2.8854922886463297, 6.441748879436124)"
428-k.2,42326.27029482449,"(4.164604456293389, 0.7754657203483712)","(1.7345646331564708, 1.589672115297283)"
